oldname,name,band,seite
BVerfG_1952-09-10_S_1_BvR_0379_52_NA,FristlaufVerfBeschwerde-RückwirkendesGesetz,1,415
BVerfG_1952-10-10_S_1_BvR_0511_52_NA,BGH-Strafsenat-Berlin,1,439
BVerfG_1958-01-15_S_1_BvR_0400_51_NA,Lüth,7,198
BVerfG_1983-02-16_S_2_BvE_0001_83_NA,Bundestagsauflösung-1,62,1
BVerfG_1983-12-15_S_1_BvR_0209_83_NA,Volkszählung1983,65,1
BVerfG_1994-02-22_S_1_BvL_0030_88_NA,Rundfunk-8-Rundfunkgebühren-1,90,60
BVerfG_1994-11-22_S_1_BvR_0351_91_NA,MietpreisbindungOst,91,294
BVerfG_1996-01-18_S_1_BvR_2116_94_NA,RäumungsurteilParabolantenne,93,381
BVerfG_1997-07-08_S_1_BvR_1243_95_NA,Parteilehrer,96,152
BVerfG_1997-10-08_S_1_BvR_0009_97_NA,IntegrativeBeschulung,96,288
BVerfG_1997-10-14_S_1_BvL_0005_89_NA,WohngeldBegleitstudium,96,315
BVerfG_1997-10-14_S_1_BvL_0005_93_NA,BAföG-Volldarlehen,96,330
BVerfG_1997-10-15_S_2_BvN_0001_95_NA,Landesverfassungsgerichte,96,345
BVerfG_1997-12-03_S_2_BvR_0882_97_NA,Schiffbauverträge,97,67
BVerfG_1997-12-09_S_1_BvR_1611_94_NA,Rückübereignungsanspruch,97,89
BVerfG_1997-12-16_S_1_BvL_0003_89_NA,Kindererziehungszeiten,97,103
BVerfG_1997-12-21_S_2_BvL_0006_95_NA,FortgeltungDDR-Strafrecht,97,117
BVerfG_1998-01-14_S_1_BvR_1861_93_NA,CarolineVonMonaco-1,97,125
BVerfG_1998-01-14_S_1_BvR_1995_94_NA,SaarländischesPressegesetz,97,157
BVerfG_1998-01-27_S_1_BvL_0015_87_NA,Kleinbetriebsklausel-1,97,169
BVerfG_1998-01-27_S_1_BvL_0022_93_NA,Kleinbetriebsklausel-2,97,186
BVerfG_1998-01-28_S_2_BvF_0003_92_NA,Bundesgrenzschutz,97,198
BVerfG_1998-02-17_S_1_BvF_0001_91_NA,Rundfunk-10-Kurzberichterstattung,97,228
BVerfG_1998-02-18_S_1_BvR_1318_86_NA,Hinterbliebenenrente-2,97,271
BVerfG_1998-02-20_S_1_BvR_0661_94_NA,Rundfunk-11-ExtraRadioHof,97,298
BVerfG_1998-02-26_S_2_BvC_0028_96_NA,Überhang-Nachrücker,97,317
BVerfG_1998-03-10_S_1_BvR_0178_97_NA,Kindergartenbeiträge,97,332
BVerfG_1998-03-31_S_2_BvR_1877_97_NA,Euro,97,350
BVerfG_1998-03-24_S_1_BvL_0006_92_NA,Krankengeld,97,378
BVerfG_1998-03-24_S_1_BvR_0131_96_NA,Missbrauchsbezichtigung,97,391
BVerfG_1998-04-01_S_2_BvE_0001_98_NA,Gysi-1,97,408
BVerfG_1998-04-08_S_1_BvL_0016_90_NA,Beamtinnenrente,98,1
BVerfG_1998-04-08_S_1_BvR_1680_93_NA,Sachenrechtsmoratorium,98,17
BVerfG_1998-04-08_S_1_BvR_1773_96_NA,Sozietätsverbot,98,49
BVerfG_1998-04-29_S_1_BvL_0025_93_NA,Erziehungsgeld,98,70
BVerfG_1998-05-07_S_2_BvR_1876_91_NA,LandesrechtlicheAbfallabgabe,98,83
BVerfG_1998-05-07_S_2_BvR_1991_95_NA,KommunaleVerpackungsteuer,98,106
BVerfG_1998-05-26_S_1_BvL_0011_94_NA,Rentenüberleitung-4-SelbstablehnungPapier,98,134
BVerfG_1998-05-27_S_2_BvE_0002_98_NA,Gysi-2,98,139
BVerfG_1998-06-05_S_2_BvL_0002_97_NA,InkompatibilitätVorstandstätigkeit,98,145
BVerfG_1998-06-22_S_2_BvR_1516_93_NA,Flughafenverfahren-ErinnerungKostenfestsetzung,98,163
BVerfG_1998-07-01_S_2_BvR_0441_90_NA,Arbeitspflicht,98,169
BVerfG_1998-07-14_S_1_BvR_1640_97_NA,Rechtschreibreform,98,218
BVerfG_1998-10-27_S_1_BvR_2306_96_NA,BayerischesSchwangerenhilfegesetz,98,265
BVerfG_1998-07-15_S_1_BvR_1554_89_NA,Versorgungsanwartschaften,98,365
BVerfG_1998-07-16_S_2_BvR_1953_95_NA,BayerischeKommunalwahlen,99,1
BVerfG_1998-07-20_S_2_BvE_0002_98_NA,Gysi-3,99,19
BVerfG_1998-07-22_S_1_BvR_1183_90_NA,Werkszeitungen-ErinnerungKostenfestsetzung,99,46
BVerfG_1998-08-17_K_2_BvR_1206_98_NA,BegünstigterEinstweiligeAnordnung,99,49
BVerfG_1998-09-15_S_2_BvE_0002_93_NA,Globalzuschüsse-AblehnungJentsch,99,51
BVerfG_1998-09-17_S_2_BvK_0001_98_NA,LiegenschaftsmodellSchleswig-Holstein,99,57
BVerfG_1998-09-29_S_2_BvL_0064_93_NA,KommunaleWählervereinigungen-KörperschaftVermögensteuer,99,69
BVerfG_1998-09-29_S_2_BvR_1790_94_NA,KommunaleWählervereinigungen-Parteienfinanzierung,99,84
BVerfG_1998-09-30_S_2_BvR_1818_91_NA,Verlustabzug,99,88
BVerfG_1998-10-13_S_2_BvR_1275_96_NA,SanktSalvatorKirche,99,100
BVerfG_1998-10-28_S_1_BvR_2349_96_NA,DDR-Erbbaurecht,99,129
BVerfG_1998-10-29_S_2_BvR_1206_98_NA,GegenläufigeKindesrückführungsanträge,99,145
BVerfG_1998-11-10_S_1_BvL_0050_92_NA,ElternunabhängigeAusbildungsförderung,99,165
BVerfG_1998-11-10_S_1_BvR_1531_96_NA,Scientology,99,185
BVerfG_1998-11-10_S_1_BvR_2296_96_NA,ErstattungArbeitslosengeldWettbewerbsunterlassung,99,202
BVerfG_1998-11-10_S_2_BvR_1057_91_NA,Familienlastenausgleich-2,99,216
BVerfG_1998-11-10_S_2_BvL_0042_93_NA,Kinderexistenzminimum-1,99,246
BVerfG_1998-11-10_S_2_BvR_1220_93_NA,Kinderexistenzminimum-2,99,268
BVerfG_1998-11-10_S_2_BvR_1852_97_NA,Kinderexistenzminimum-3,99,273
BVerfG_1998-11-11_S_2_BvL_0010_95_NA,AufwandsentschädigungOst,99,280
BVerfG_1998-11-24_S_2_BvL_0026_91_NA,Beamtenkinder,99,300
BVerfG_1998-11-25_S_2_BvH_0001_92_NA,MfS-AfNS-Verzögerungsschaden,99,332
BVerfG_1998-12-10_S_2_BvR_1516_93_NA,Flughafenverfahren-ZwangsvollstreckungKostenerstattung,99,338
